"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"53868","tt1795369","Frankenstein","2011","en","8.6","1080p","https://yts.mx/movies/frankenstein-2011","https://www.imdb.com/title/tt1795369","https://yts.mx/torrent/download/B7FE24BA64DB7784EC5D9C94313711D901CE1E82"
"53327","tt0070233","Ivan Vasilyevich Changes His Profession","1973","ru","8.2","1080p","https://yts.mx/movies/ivan-vasilyevich-changes-his-profession-1973","https://www.imdb.com/title/tt0070233","https://yts.mx/torrent/download/0560BFB17E9C44D6153427F663D26E645A180CAC"
"53072","tt6791350","Guardians of the Galaxy Vol. 3","2023","en","8","1080p","https://yts.mx/movies/guardians-of-the-galaxy-vol-3-2023","https://www.imdb.com/title/tt6791350","https://yts.mx/torrent/download/772D391E59730B47722BE6A42ED316AD257364FC"
"53072","tt6791350","Guardians of the Galaxy Vol. 3","2023","en","8","1080p","https://yts.mx/movies/guardians-of-the-galaxy-vol-3-2023","https://www.imdb.com/title/tt6791350","https://yts.mx/torrent/download/43F7A2F464EE3FFD8B0A9F4CA75EC64507A7C1EB"
"53072","tt6791350","Guardians of the Galaxy Vol. 3","2023","en","8","1080p","https://yts.mx/movies/guardians-of-the-galaxy-vol-3-2023","https://www.imdb.com/title/tt6791350","https://yts.mx/torrent/download/06ED464D4932FE8E058DEE2329DF88558756423D"
"52585","tt9362722","Spider-Man: Across the Spider-Verse","2023","en","8.8","1080p","https://yts.mx/movies/spider-man-across-the-spider-verse-2023","https://www.imdb.com/title/tt9362722","https://yts.mx/torrent/download/22B41B97F077F0D960AC60241B7423AD40420BDD"
"52585","tt9362722","Spider-Man: Across the Spider-Verse","2023","en","8.8","1080p","https://yts.mx/movies/spider-man-across-the-spider-verse-2023","https://www.imdb.com/title/tt9362722","https://yts.mx/torrent/download/559C85A6FB02CD59AAE5B381A0028EF6148FE4D9"
"48510","tt15679102","Tomorrow's Game","2022","en","8.6","1080p","https://yts.mx/movies/tomorrows-game-2022","https://www.imdb.com/title/tt15679102","https://yts.mx/torrent/download/F27F8D8B869B776E51BEFCEB013A0F8596188148"
"43856","tt9263550","Rocketry: The Nambi Effect","2022","ta","8.7","1080p","https://yts.mx/movies/rocketry-the-nambi-effect-2022","https://www.imdb.com/title/tt9263550","https://yts.mx/torrent/download/C6616B7143513910CD6642133111F9204A759F6F"
"40617","tt10872600","Spider-Man: No Way Home","2021","en","8.2","1080p","https://yts.mx/movies/spider-man-no-way-home-2021","https://www.imdb.com/title/tt10872600","https://yts.mx/torrent/download/8148C169C4B84048FCF8D44AAF275F82BC33829E"
"40617","tt10872600","Spider-Man: No Way Home","2021","en","8.2","1080p","https://yts.mx/movies/spider-man-no-way-home-2021","https://www.imdb.com/title/tt10872600","https://yts.mx/torrent/download/A6D993D58CF2AAE03A1617F67ED282F30288C99B"
"38822","tt4983780","Maanaadu","2021","ta","8.3","1080p","https://yts.mx/movies/maanaadu-2021","https://www.imdb.com/title/tt4983780","https://yts.mx/torrent/download/D52B0BEF5089618EC141FB31AC74CA5CC1E92DD1"
"37408","tt2374144","Gintama the Movie: The Final Chapter - Be Forever Yorozuya","2013","ja","8.3","1080p","https://yts.mx/movies/gintama-the-movie-the-final-chapter-be-forever-yorozuya-2013","https://www.imdb.com/title/tt2374144","https://yts.mx/torrent/download/F96D889D62DE47B883A7183D448AFC20D23F9720"
"37310","tt0000417","A Trip to the Moon","1902","fr","8.2","1080p","https://yts.mx/movies/a-trip-to-the-moon-1902","https://www.imdb.com/title/tt0000417","https://yts.mx/torrent/download/D0EE9F9C4C99A505B632BDE8530F1FA5319CDE95"
"36846","tt1160419","Dune","2021","en","8","1080p","https://yts.mx/movies/dune-2021","https://www.imdb.com/title/tt1160419","https://yts.mx/torrent/download/1018E90E7B2151782170F366048431452C157B3C"
"36846","tt1160419","Dune","2021","en","8","1080p","https://yts.mx/movies/dune-2021","https://www.imdb.com/title/tt1160419","https://yts.mx/torrent/download/ED0DA850C273E3E15A819BDCBBF418BC85107EC8"
